datetime,Servicios Financieros y Bancarios/bap,Minería/scco,Servicios Financieros y Bancarios/xvolb,Perú
2019-03-21,-0.015477005996710647,0.00792224136671238,0.0,-0.0024930723278994284
2019-03-22,-0.011626575843698084,-0.046906681097171554,0.0,-0.01931597479048698
2019-03-23,0.0,0.0,0.0,0.0
2019-03-24,0.0,0.0,0.0,0.0
2019-03-25,-0.006419954157109609,0.009045035370988996,0.0,0.0008662768005801981
2019-03-26,0.0037517996436011725,0.03190081396619582,0.0,0.011765362491233007
2019-03-27,-0.006188210523088378,-0.007153959996626935,0.0,-0.0044029162715060535
2019-03-28,-0.001253640623021135,0.004117415647290734,-0.0055555665934521326,-0.000888291217830236
2019-03-29,0.004016839937887262,0.016914375473960908,0.0,0.006907301085909897
2019-03-30,0.0,0.0,0.0,0.0
2019-03-31,0.0,0.0,0.0,0.0
2019-04-01,0.010877244287002874,0.014113027520873178,0.0,0.008246789696599099
