datetime,Telecomunicaciones/amx,Bebidas y Comercio Minorista/fmx,Servicios Financieros/gbooy,México
2019-03-15,0.014644411758195641,0.01679805553128544,0.01472302000097625,0.01523461080585092
2019-03-16,0.0,0.0,0.0,0.0
2019-03-17,0.0,0.0,0.0,0.0
2019-03-18,0.035738802332181185,0.007417447709432645,0.01183654625297148,0.018147622777213154
2019-03-19,-0.02388857745930062,0.0033467513158260687,0.010188786416672757,-0.0034165031098445913
2019-03-20,0.041468377972230686,0.027351524063267796,0.05042966049140207,0.039352355633877185
2019-03-21,-0.0045690241783873375,0.000757381055084938,-0.0021337728017729596,-0.0019619872552748686
2019-03-22,-0.028852540817542516,-0.011571198658543613,-0.06200992721365517,-0.03380311000761463
2019-03-23,0.0,0.0,0.0,0.0
2019-03-24,0.0,0.0,0.0,0.0
