Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Brasil,-0.02358057472740922,-0.02575488740206074,-0.022641621512523285,-0.02907800216293622,-0.033350456835140645,-0.04157101422506505,-0.033382505947847384,-0.037714224647652936,2023-09-11,0.0
Brasil/Servicios Financieros y Bancarios/itub,-0.028991888452302758,-0.029988049783808327,-0.027928957352592623,-0.035844233753886526,-0.04100378110266559,-0.04854233251469556,-0.04113738806558968,-0.04646381319071411,2023-09-11,0.0
Brasil/Energía y Petróleo/pbr,-0.032009914896301096,-0.037310165552894785,-0.02914573447051361,-0.0378849831884078,-0.0452722334966984,-0.053728838762952674,-0.043729149543054124,-0.049610050169353645,2023-09-11,0.0
Brasil/ Minería y Recursos Naturales/vale,-0.02852291839877317,-0.030351456899171472,-0.02896626163965969,-0.03675350127633499,-0.040340507806403116,-0.055726228801624235,-0.041961034023062,-0.047201299397669996,2023-09-11,0.0
Brasil,-0.023688714068752687,-0.025792678067194763,-0.022677989795900275,-0.0291439860778715,-0.0335034003692719,-0.041589133719251464,-0.03346827549065007,-0.03781989471568706,2023-09-12,0.0337078408552808
Brasil/Servicios Financieros y Bancarios/itub,-0.029205255963390554,-0.03011013456304463,-0.027997826539617854,-0.0359713558839063,-0.04130555084538028,-0.04854233251469556,-0.04130346547660641,-0.046669090741239275,2023-09-12,0.0040871569955778
Brasil/Energía y Petróleo/pbr,-0.032009594477505184,-0.037310165552894785,-0.02912839031135799,-0.037867551549495976,-0.04527178032228066,-0.053728838762952674,-0.043711659404119654,-0.04959250116268698,2023-09-12,0.0285498984813363
Brasil/ Minería y Recursos Naturales/vale,-0.028694633232486482,-0.030351456899171472,-0.029015760001530066,-0.036849880695066464,-0.04058336737263127,-0.055726228801624235,-0.042088764042288104,-0.04736057707568873,2023-09-12,0.0218938157896243
Brasil,-0.023688871147119327,-0.025790833360115638,-0.022679269186361668,-0.029145260411813687,-0.03350362252820343,-0.041586133029140916,-0.033469556769071984,-0.03782118799502412,2023-09-13,0.0
Brasil/Servicios Financieros y Bancarios/itub,-0.029205255963390554,-0.03011013456304463,-0.027997826539617854,-0.0359713558839063,-0.04130555084538028,-0.04854233251469556,-0.04130346547660641,-0.046669090741239275,2023-09-13,0.0054274033207795
Brasil/Energía y Petróleo/pbr,-0.03201041717219354,-0.037310165552894785,-0.02910658321360566,-0.03784596906132238,-0.04527294387507823,-0.053728838762952674,-0.04369022711830159,-0.04957122002334099,2023-09-13,-0.0065740833946068
Brasil/ Minería y Recursos Naturales/vale,-0.028700876974569103,-0.030351456899171472,-0.029049277272841213,-0.03688510261367728,-0.040592198016210716,-0.055726228801624235,-0.04212512590355495,-0.0473980860448702,2023-09-13,-0.000378404424363
Brasil,-0.023700095302715482,-0.025785145560011918,-0.02266570805804083,-0.029134791467250013,-0.03351949706565842,-0.04157874889926539,-0.033461149882031006,-0.03781485326379091,2023-09-14,0.0163043364493546
Brasil/Servicios Financieros y Bancarios/itub,-0.0292523946486608,-0.03011013456304463,-0.027976135958314077,-0.035962534961773616,-0.041372219987525626,-0.04854233251469556,-0.0413032508353511,-0.046677536476764946,2023-09-14,-0.0006747149401773
Brasil/Energía y Petróleo/pbr,-0.032011045263645226,-0.037310165552894785,-0.029110010698275922,-0.037849568025593,-0.04527383219680448,-0.053728838762952674,-0.04369394075550844,-0.0495750490542758,2023-09-14,0.0073528988963602
Brasil/ Minería y Recursos Naturales/vale,-0.028714081717375585,-0.030351456899171472,-0.02903159435596042,-0.03687102481514858,-0.040610873735953665,-0.055726228801624235,-0.042113458942852025,-0.04738884507562936,2023-09-14,0.0075842317338274
