Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Argentina/Servicios Financieros y Bancarios/ggal,-0.04959689310277279,-0.05521824680032781,-0.046341367121463944,-0.0598821586500921,-0.07014583239391815,-0.07297053314922303,-0.0689372434544478,-0.07804924517814844,2023-09-07,-0.006327359894113
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.03810128900358634,-0.038306829187125566,-0.03518254255834444,-0.04558483953893357,-0.053887380140922286,-0.05700832349568241,-0.05254113017528094,-0.05954114548584655,2023-09-07,-0.0131867660462867
Argentina/Energía y Petróleo/ypf,-0.045779794625871,-0.06224138076972135,-0.043181386398531835,-0.055680045416704786,-0.06474723717471752,-0.08134012097691998,-0.06403822869653757,-0.0724489484300742,2023-09-07,-0.011151138477952
Argentina,-0.0342290647199598,-0.040684758586017,-0.03210448453348553,-0.04144948151713445,-0.048410819441281554,-0.05452238425567439,-0.047698753355389076,-0.053987318137458024,2023-09-08,-0.0144839936957349
Argentina/Servicios Financieros y Bancarios/ggal,-0.049607937036139194,-0.05521824680032781,-0.0464783414290884,-0.06002214813850744,-0.07016145203963434,-0.07297053314922303,-0.06907924927386595,-0.07819328000248153,2023-09-08,0.0072792590980679
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.03805476052346608,-0.038306829187125566,-0.035192332534467206,-0.04558192645222241,-0.05382157402356536,-0.05700832349568241,-0.052529722215061594,-0.05952118925648102,2023-09-08,-0.0282108468379962
Argentina/Energía y Petróleo/ypf,-0.04588732003617801,-0.06224138076972135,-0.043391596139973794,-0.05591961141564418,-0.06489931241446799,-0.08134012097691998,-0.06429742599994064,-0.07272790043307163,2023-09-08,-0.0116871418737688
Argentina,-0.03413453119094545,-0.040545315492421026,-0.03221119633864669,-0.04153034431379026,-0.04827711886717292,-0.0541759441077811,-0.04776233878869369,-0.05403352176291896,2023-09-09,-0.0287814004424161
Argentina/Servicios Financieros y Bancarios/ggal,-0.04918708307390079,-0.05469551044697383,-0.04647684691322587,-0.059905753365589315,-0.06956623024950488,-0.07173831219113005,-0.06888601766541418,-0.07792272859052117,2023-09-09,-0.0056810904851783
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.03799888163877571,-0.038306829187125566,-0.03525682302129795,-0.045631161057462406,-0.05374254345058719,-0.05700832349568241,-0.05256875480949024,-0.059549955714025604,2023-09-09,-0.0328495263684752
Argentina/Energía y Petróleo/ypf,-0.04600904409732191,-0.06224138076972135,-0.04371218356663227,-0.05627343157187207,-0.065071469077056,-0.08134012097691998,-0.06467346975985483,-0.07312630748603852,2023-09-09,-0.022212965707703
Argentina,-0.03358172519396301,-0.03997139504437545,-0.03184886211838759,-0.041017155248279806,-0.04749527479620801,-0.0534426400949857,-0.047148253680197275,-0.05331789899490341,2023-09-10,0.0
Argentina/Servicios Financieros y Bancarios/ggal,-0.04904277574389614,-0.05469551044697383,-0.04648997294194496,-0.05987948104998879,-0.06936213363880098,-0.07173831219113005,-0.06883339863675697,-0.07784359724309795,2023-09-10,0.0
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.036728672530926765,-0.03602640529155604,-0.0343999424211242,-0.044427491865279334,-0.0519460624694142,-0.05455973277725856,-0.051133178929785354,-0.057881015466996415,2023-09-10,0.0
Argentina/Energía y Petróleo/ypf,-0.045733081038502994,-0.06224138076972135,-0.04364409180173254,-0.05612999721965892,-0.06468116925664764,-0.08134012097691998,-0.06447965183028138,-0.0728817892865424,2023-09-10,0.0
Argentina,-0.03322882401992809,-0.03940157466765996,-0.03164768510906675,-0.04071964501579884,-0.04699615993120679,-0.05261727170981446,-0.04678631962803995,-0.0528911346208533,2023-09-11,0.0
Argentina/Servicios Financieros y Bancarios/ggal,-0.04902297105497012,-0.05469551044697383,-0.046532152121873095,-0.0599162532145323,-0.06933412348931157,-0.07173831219113005,-0.06886655498735468,-0.07787311505207861,2023-09-11,0.0
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.03624765013038228,-0.035135845234838224,-0.03416646063570627,-0.04406268282045272,-0.05126574330876849,-0.05011029740360612,-0.05068054787923956,-0.057340010394033185,2023-09-11,0.0
Argentina/Energía y Petróleo/ypf,-0.04513219953750331,-0.06108072531585192,-0.04334849362313598,-0.05567034821792742,-0.0638313310829058,-0.08134012097691998,-0.0639102977117869,-0.07220204048543134,2023-09-11,0.0
Argentina,-0.03329890627929312,-0.03938298367576352,-0.03178425685953853,-0.0408753185343881,-0.047095278608036396,-0.052593746960575574,-0.04695477386714961,-0.05307245324774308,2023-09-12,-0.0075661972356071
Argentina/Servicios Financieros y Bancarios/ggal,-0.04903227884774551,-0.05469551044697383,-0.0465728091063229,-0.059959451383997504,-0.06934728767825839,-0.07173831219113005,-0.06891145251433302,-0.0779197226181039,2023-09-12,-0.0036829048733766
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.03625136171299101,-0.035135845234838224,-0.034185447222116624,-0.04408268273175505,-0.051270992670881727,-0.05011029740360612,-0.05070122542765136,-0.05736136983893108,2023-09-12,-0.0466034881278843
Argentina/Energía y Petróleo/ypf,-0.04541340855028492,-0.06108072531585192,-0.04381854744911673,-0.05621717686547122,-0.06422905035611436,-0.08134012097691998,-0.06450846770954814,-0.07285187454617888,2023-09-12,-0.0190913547781664
Argentina,-0.033310853143391855,-0.03934571509644617,-0.03175266700489008,-0.04084703307739194,-0.047112175285918344,-0.05254124792555168,-0.04692868893414521,-0.05304857820250955,2023-09-13,0.0146124840695791
Argentina/Servicios Financieros y Bancarios/ggal,-0.049051662626736374,-0.05469551044697383,-0.04653093969705285,-0.05992287407457349,-0.06937470252679409,-0.07173831219113005,-0.06887841417180006,-0.07789024548710108,2023-09-13,-0.0167190502445686
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.03630198292423339,-0.035135845234838224,-0.034304770524885446,-0.04421582648224707,-0.051342587215967996,-0.05011029740360612,-0.05084361127642863,-0.05751305587841063,2023-09-13,0.0314830260189538
