datetime,Servicios Financieros y Bancarios/aval,Servicios Financieros y Bancarios/bogota,Petróleo y Gas/ec,Colombia
2019-03-16,0.0,0.0,0.0,0.0
2019-03-17,0.0,0.0,0.0,0.0
2019-03-18,0.018276662832481305,0.0014815328139154982,0.0406923005114026,0.019948663732073806
2019-03-19,0.010256235767597488,0.00621350718402458,0.0071908708538073185,0.007808002555791697
2019-03-20,0.0,-0.0017643763942676305,0.017849121264171597,0.005307965807068309
2019-03-21,-0.008882976699468803,-0.005596384096155593,0.009645129588572665,-0.0015952962983270713
2019-03-22,-0.007682535965917947,0.0053313140923054725,-0.05557979404598279,-0.01911723525346644
2019-03-23,0.0,0.0,0.0,0.0
2019-03-24,0.0,0.0,0.0,0.0
2019-03-25,-0.012903178357447587,0.0,-0.0022987179020549364,-0.005016625765635833
2019-03-26,0.005228474810737849,-0.0011782459543112633,0.020276251931796718,0.00802773866011369
