datetime,Venta al por menor/cencosud,Energía Eléctrica/enel,Industria Química/sqm,Chile
2019-03-15,0.004049543776116771,0.00870408488805019,0.01315804712579327,0.008550853010686876
2019-03-16,0.0,0.0,0.0,0.0
2019-03-17,0.0,0.0,0.0,0.0
2019-03-18,0.006502648422615387,0.008064507053911818,-0.01274196031153041,0.0006023144044489427
2019-03-19,-0.004743184866760286,-0.01112002231632614,-0.015140189975284768,-0.010231121062262495
2019-03-20,-0.0036976224395252055,-0.015856357641631957,-0.017641424885264767,-0.012274483638919238
2019-03-21,0.00016488872780318076,-0.010275241868983653,0.009235578912490716,-0.0002886754954676196
2019-03-22,-0.014595642628452477,-0.012458585614176121,-0.029994714677978096,-0.01882615116380021
2019-03-23,0.0,0.0,0.0,0.0
2019-03-24,0.0,0.0,0.0,0.0
2019-03-25,-0.01673625274723134,0.0008410680625527966,-0.0013104408352667685,-0.005677856421581953
