Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Colombia/Servicios Financieros y Bancarios/aval,-0.03318850996603306,-0.037342998431114424,-0.03244892624325107,-0.04150995136965616,-0.04693914299545276,-0.050037819280704846,-0.04756929810433766,-0.05366673165508244,2023-09-12,0.01171875
Colombia/Servicios Financieros y Bancarios/bogota,-0.03626636051905262,-0.03310961497619312,-0.03677790380544209,-0.046679234243076066,-0.05129220576852329,-0.06453615563030524,-0.053300515325438856,-0.059963415335671184,2023-09-12,-0.0024937434444798
Colombia/Petróleo y Gas/ec,-0.031534017517930196,-0.03503412384176442,-0.03030830765209645,-0.038917628328405694,-0.044599162752715776,-0.04677789533319656,-0.04467490837123428,-0.050468376550444116,2023-09-12,0.0118442437709876
Colombia,-0.02173785469744958,-0.02303458330763327,-0.021357242878116772,-0.027290872838639374,-0.030744262731356393,-0.034455289184487814,-0.031259096226647215,-0.035252384141369476,2023-09-13,-0.0043290003077767
Colombia/Servicios Financieros y Bancarios/aval,-0.03319185463190544,-0.037342998431114424,-0.032470244940062495,-0.04153218321687838,-0.04694387342022375,-0.050037819280704846,-0.04759214059934892,-0.05369018863618926,2023-09-13,0.0038610038610038
Colombia/Servicios Financieros y Bancarios/bogota,-0.03627012316108215,-0.03310961497619312,-0.03676550752927978,-0.046667865231892085,-0.05129752734494975,-0.06453615563030524,-0.053289833273468125,-0.05995342456088566,2023-09-13,0.0266666412353517
Colombia/Petróleo y Gas/ec,-0.03165488807484784,-0.03503412384176442,-0.030315773493211604,-0.038958093877986044,-0.0447701122879888,-0.04677789533319656,-0.04473744169713624,-0.050553116362560775,2023-09-13,0.008645552780231
Colombia,-0.021823916238501613,-0.023030107188078935,-0.021486381954749056,-0.02744322358209765,-0.03086598121121538,-0.034451691522523864,-0.0314270290734608,-0.03543602649555157,2023-09-14,0.0086956440613714
Colombia/Servicios Financieros y Bancarios/aval,-0.03320442077390936,-0.037342998431114424,-0.03244634076932203,-0.04151170981565894,-0.04696164595466495,-0.050037819280704846,-0.04757396144428867,-0.05367431814807238,2023-09-14,-0.0553846153846153
Colombia/Servicios Financieros y Bancarios/bogota,-0.03672352538206887,-0.03310961497619312,-0.03744107495428276,-0.04746721913965471,-0.051938782758559246,-0.06453615563030524,-0.05417196647051023,-0.060918857367252076,2023-09-14,-0.0089285437826317
Colombia/Petróleo y Gas/ec,-0.031671436434656954,-0.03503412384176442,-0.03036921008738985,-0.03901604845456798,-0.044793516949066234,-0.04677789533319656,-0.04479841756783702,-0.05061713251811957,2023-09-14,-0.0183537799849389
Colombia,-0.021920248473585688,-0.02310427343813598,-0.021505515045489858,-0.027488204712932986,-0.031002225729643916,-0.03456902031347149,-0.03148939211574887,-0.03551592784462114,2023-09-15,0.0301724886532792
Colombia/Servicios Financieros y Bancarios/aval,-0.033253670655610024,-0.037342998431114424,-0.03226731191180004,-0.041346127009677644,-0.047031301002210694,-0.050037819280704846,-0.047417370367980445,-0.053526775320129595,2023-09-15,0.001628664495114
Colombia/Servicios Financieros y Bancarios/bogota,-0.036650902502950125,-0.03310961497619312,-0.03744829512659614,-0.04745461203641037,-0.05183607083472823,-0.06453615563030524,-0.05414610034461312,-0.060879648877381905,2023-09-15,0.0278460402559908
Colombia/Petróleo y Gas/ec,-0.031780113461517184,-0.03503412384176442,-0.030316770461983885,-0.03899327949747618,-0.04494722094208471,-0.04677789533319656,-0.04479549017002324,-0.05063417139629863,2023-09-15,0.0196835738234467
Colombia,-0.02189704788526739,-0.023126271123050247,-0.02149122048839881,-0.027467797813416867,-0.030969412694838626,-0.03454021739700488,-0.03146485060287441,-0.03548720266738015,2023-09-16,0.0418409624448856
Colombia/Servicios Financieros y Bancarios/aval,-0.03347419134640118,-0.03766477884221419,-0.0323961161563695,-0.04153513713640922,-0.047343187623487035,-0.050037819280704846,-0.04764664175769257,-0.05379656104025425,2023-09-16,0.0154471544715446
Colombia/Servicios Financieros y Bancarios/bogota,-0.03669261823984239,-0.03310961497619312,-0.0374352988143879,-0.04745300482665157,-0.05189507019749416,-0.06453615563030524,-0.0541521093283617,-0.06089332192721785,2023-09-16,-0.0007968309744902
Colombia/Petróleo y Gas/ec,-0.03150534043615877,-0.034911967748725126,-0.030217198427078998,-0.038818689774540734,-0.044558604208709454,-0.04677789533319656,-0.044570734138456046,-0.050358933729208334,2023-09-16,0.0186421243608402
Colombia,-0.021764499546460092,-0.023071294819644077,-0.021297372211289377,-0.027237833763501557,-0.030781947049786977,-0.03444109137531518,-0.03121072038321991,-0.035208747026695235,2023-09-17,0.0
Colombia/Servicios Financieros y Bancarios/aval,-0.033287742068472154,-0.03766477884221419,-0.03207715001059152,-0.041165267181034346,-0.04707948885162091,-0.050037819280704846,-0.0472427310808584,-0.053358395674555775,2023-09-17,0.0
Colombia/Servicios Financieros y Bancarios/bogota,-0.03654136752142419,-0.03310961497619312,-0.03715074481420414,-0.04712715681955467,-0.05168115342005332,-0.06453615563030524,-0.05379864692858181,-0.060512071560879614,2023-09-17,0.0
Colombia/Petróleo y Gas/ec,-0.031502492830451104,-0.034911967748725126,-0.030200469430644507,-0.038801183333536014,-0.04455457678561503,-0.04677789533319656,-0.04455270779974082,-0.050340384224897575,2023-09-17,0.0
Colombia,-0.02155508365771104,-0.02290678519447549,-0.02117161260916286,-0.02705496922099154,-0.030485766161956463,-0.03364502999226011,-0.030989652733106752,-0.03494922877690049,2023-09-18,0.0
Colombia/Servicios Financieros y Bancarios/aval,-0.032857187588918944,-0.037342998431114424,-0.03186573656581149,-0.04083630507373495,-0.04647054743473402,-0.04718413105968222,-0.04683516107936751,-0.05287172367867773,2023-09-18,0.0
Colombia/Servicios Financieros y Bancarios/bogota,-0.0364663477816704,-0.03310961497619312,-0.037163362158345994,-0.04711929250460483,-0.05157505157048584,-0.06453615563030524,-0.05377708598743275,-0.06047672790159675,2023-09-18,0.0
Colombia/Petróleo y Gas/ec,-0.03146938723610598,-0.034911967748725126,-0.030227416024730527,-0.03881909153986396,-0.04450775491176455,-0.04677789533319656,-0.04456457179753997,-0.05034616602250504,2023-09-18,0.0
Colombia,-0.021557913315327793,-0.02289194978130725,-0.02116925342832788,-0.02705355601490951,-0.030489768200723397,-0.03361899363868014,-0.03098883542790765,-0.03494899311781167,2023-09-19,-0.0080321208232585
Colombia/Servicios Financieros y Bancarios/aval,-0.03286927089323714,-0.037342998431114424,-0.03191105774034933,-0.04088492519493082,-0.046487637082622095,-0.04718413105968222,-0.04688598729329365,-0.052924769852018404,2023-09-19,0.021617293835068
