Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Chile/Energía Eléctrica/enel,-0.022237095883951185,-0.025080273526283406,-0.022157040315980772,-0.02822814398255025,-0.03145034906865812,-0.04111809121332139,-0.03228805129598861,-0.036373477687613356,2023-09-18,0.0
Chile/Industria Química/sqm,-0.03971306087722019,-0.03830747803235701,-0.039823505081495576,-0.05066584307206003,-0.05616693985993279,-0.05964652592652513,-0.05791640074990911,-0.06521253275593648,2023-09-18,0.0
Chile,-0.018912859504102125,-0.020234083434818268,-0.018593823298926337,-0.02375607211049872,-0.026748818118816815,-0.031136461460636297,-0.027208475659391523,-0.03068271284121122,2023-09-19,0.0
Chile/Venta al por menor/cencosud,-0.018553390417743586,-0.0243381696643349,-0.016806827164569004,-0.021872216871043744,-0.02624041413007802,-0.034242337361810246,-0.02525957670612172,-0.028668228234286077,2023-09-19,0.0
Chile/Energía Eléctrica/enel,-0.02223709588395118,-0.025080273526283406,-0.02215704031598077,-0.028228143982550247,-0.031450349068658116,-0.04111809121332139,-0.0322880512959886,-0.03637347768761335,2023-09-19,0.0
Chile/Industria Química/sqm,-0.03971306087722019,-0.03830747803235701,-0.03982350508149558,-0.050665843072060034,-0.0561669398599328,-0.05964652592652513,-0.057916400749909114,-0.0652125327559365,2023-09-19,0.0
Chile,-0.018912859504102125,-0.020234083434818268,-0.018593823298926334,-0.02375607211049872,-0.02674881811881681,-0.031136461460636294,-0.02720847565939152,-0.030682712841211216,2023-09-20,0.0
Chile/Venta al por menor/cencosud,-0.018553390417743586,-0.0243381696643349,-0.016806827164569004,-0.021872216871043744,-0.02624041413007802,-0.034242337361810246,-0.02525957670612172,-0.028668228234286077,2023-09-20,0.0
Chile/Energía Eléctrica/enel,-0.02223709588395118,-0.025080273526283406,-0.02215704031598077,-0.028228143982550247,-0.031450349068658116,-0.04111809121332139,-0.0322880512959886,-0.03637347768761335,2023-09-20,0.0
Chile/Industria Química/sqm,-0.03971306087722019,-0.03830747803235701,-0.039823505081495576,-0.05066584307206003,-0.05616693985993279,-0.05964652592652513,-0.05791640074990911,-0.06521253275593648,2023-09-20,0.0
Chile,-0.01884965797177882,-0.01934754477031487,-0.018637629437718975,-0.023782635930444534,-0.026659430985550164,-0.031190434083864845,-0.02722350533569575,-0.030686134330633937,2023-09-21,-0.0090293453724604
Chile/Venta al por menor/cencosud,-0.018339066667557028,-0.021868562292696497,-0.016757919378693205,-0.021764795072709616,-0.02593729196015763,-0.034242337361810246,-0.025113025042747355,-0.028482300749989153,2023-09-21,0.0226700251889169
Chile/Energía Eléctrica/enel,-0.022187452219652855,-0.025080273526283406,-0.02190111413245506,-0.02795866423816765,-0.03138013708686977,-0.04111809121332139,-0.03200950792761469,-0.03608581372465462,2023-09-21,-0.0431245157522784
Chile/Industria Química/sqm,-0.03958823751820813,-0.036830666853504175,-0.04009057112709473,-0.05089883022729839,-0.05599039980122463,-0.05964652592652513,-0.058126598451399294,-0.06539979775758761,2023-09-21,-0.0097296658588212
Chile,-0.01885401595909808,-0.019345861212558085,-0.01867312154037006,-0.023819175375438744,-0.026665594570181122,-0.031187184643663518,-0.02726077487288015,-0.03072415324352732,2023-09-22,-0.0142369020501138
Chile/Venta al por menor/cencosud,-0.018375610116829796,-0.021868562292696497,-0.016812447945640692,-0.021829300620015816,-0.025988976057838335,-0.034242337361810246,-0.02518420246023548,-0.028560191974571478,2023-09-22,0.0244335306101832
Chile/Energía Eléctrica/enel,-0.02223980061329127,-0.025080273526283406,-0.021767819584872023,-0.027839661688344383,-0.031454174418979304,-0.04111809121332139,-0.03190006281403618,-0.035985986121835865,2023-09-22,-0.0219387913650563
Chile/Industria Química/sqm,-0.03951876851674648,-0.036830666853504175,-0.04023378995139895,-0.05102308283804272,-0.05589214846675084,-0.05964652592652513,-0.0582381678543829,-0.06549860423084998,2023-09-22,-0.0038749137256456
